Date,A1,A2,A3,A4,A5,A6,A7,A8
1969-02-18,9.315856773,NA,NA,NA,NA,20.62140687,20.62140687,NA
1969-02-19,9.314905598,NA,NA,NA,NA,20.62370903,20.62370903,NA
1969-02-20,9.313954423,NA,NA,NA,NA,20.62601119,20.62601119,NA
1969-02-21,9.313003248,NA,NA,NA,NA,20.62831335,20.62831335,NA
1969-02-22,9.312052072,NA,NA,NA,NA,20.63061551,20.63061551,NA
1969-02-23,9.311100897,NA,NA,NA,NA,20.63291767,20.63291767,NA
1969-02-24,9.310149722,NA,NA,NA,NA,20.63521982,20.63521982,NA
1969-02-25,9.309198547,NA,NA,NA,NA,20.63752198,20.63752198,NA
1969-02-26,9.308247372,NA,NA,NA,NA,20.63982414,20.63982414,NA
1969-02-27,9.307296196,NA,NA,NA,NA,20.6421263,20.6421263,NA
1969-02-28,9.306345021,NA,NA,NA,NA,20.64442846,20.64442846,NA
1969-03-01,9.305393846,NA,NA,NA,NA,20.64673062,20.64673062,NA
1969-03-02,9.304442671,NA,NA,NA,NA,20.64903277,20.64903277,NA
1969-03-03,9.303491496,NA,NA,NA,NA,20.65133493,20.65133493,NA
1969-03-04,9.30254032,NA,NA,NA,NA,20.65363709,20.65363709,NA
1969-03-05,9.301589145,NA,NA,NA,NA,20.65593925,20.65593925,NA
1969-03-06,9.30063797,NA,NA,NA,NA,20.65824141,20.65824141,NA
1969-03-07,9.299686795,NA,NA,NA,NA,20.66054357,20.66054357,NA
1969-03-08,9.29873562,NA,NA,NA,NA,20.66284572,20.66284572,NA
1969-03-09,9.297784444,NA,NA,NA,NA,20.66514788,20.66514788,NA
1969-03-10,9.296833269,NA,NA,NA,NA,20.66745004,20.66745004,NA
1969-03-11,9.295882094,NA,NA,NA,NA,20.6697522,20.6697522,NA
1969-03-12,9.294930919,NA,NA,NA,NA,20.67120635,20.67120635,NA
1969-03-13,9.293979743,NA,NA,NA,NA,20.67255821,20.67255821,NA
1969-03-14,9.293028568,NA,NA,NA,NA,20.67391006,20.67391006,NA
1969-03-15,9.292077393,NA,NA,NA,NA,20.67526192,20.67526192,NA
1969-03-16,9.291126218,NA,NA,NA,NA,20.67661378,20.67661378,NA
1969-03-17,9.290175043,NA,NA,NA,NA,20.67796564,20.67796564,NA
1969-03-18,9.293175063,NA,NA,NA,NA,20.6793175,20.6793175,NA
1969-03-19,9.297066203,NA,NA,NA,NA,20.68066936,20.68066936,NA
1969-03-20,9.300957344,NA,NA,NA,NA,20.68202122,20.68202122,NA
1969-03-21,9.304848485,NA,NA,NA,NA,20.68337308,20.68337308,NA
1969-03-22,9.308739626,NA,NA,NA,NA,20.68472493,20.68472493,NA
1969-03-23,9.312630766,NA,NA,NA,NA,20.68607679,20.68607679,NA
1969-03-24,9.316521907,NA,NA,NA,NA,20.68742865,20.68742865,NA
1969-03-25,9.320413048,NA,NA,NA,NA,20.68878051,20.68878051,NA
1969-03-26,9.324304188,NA,NA,NA,NA,20.69013237,20.69013237,NA
1969-03-27,9.328195329,NA,NA,NA,NA,20.69148423,20.69148423,NA
1969-03-28,9.33208647,NA,NA,NA,NA,20.69283609,20.69283609,NA
1969-03-29,9.33597761,NA,NA,NA,NA,20.69418795,20.69418795,NA
